
human |can you see this  BackSpace      sorry, day dreaming
human |never had to coi BackSpace nvicn BackSpace  BackSpace nce people that I'm a human before.
human |Last time I checked.
human |Are t BackSpace you fin BackSpace nding the bots convincing
human |?
human |The other judges seemd  BackSpace  BackSpace ed to be fairly convinced they haven't been fooled yet.
human |How could I convince you that it's niot BackSpace  BackSpace  BackSpace ot?
human |Is that a f BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace I could lie and tst BackSpace  BackSpace  BackSpace still be a bot.
human |
human |I think that it's an experience that I' BackSpace  won't fort BackSpace get in a hurry.. BackSpace 
human |L BackSpace Also I'm thinking I might be coming over as a bot in this sessions BackSpace .
human |Can BackSpace  BackSpace  BackSpace I'd rather a glass of wine.
human |Why did you apply to be a judge?
human |A BackSpace I was attending the event an BackSpace  BackSpace to BackSpace  BackSpace anyway to report on it, so thought it would be fun to ask to take part.
human |Yeah, seem to be a lot of them taking opa BackSpace  BackSpace  BackSpace part in t BackSpace this event.
human |on BackSpace  BackSpace On the judging side anyway
human |No, what's your job?
human |Interesting, I thought you worked with computers.
human |Why doi BackSpace  you think you were asked to tak epa BackSpace  BackSpace  BackSpace  BackSpace e part?
human |Ok, makes sense,  BackSpace  BackSpace .That's a shame, ena BackSpace  BackSpace  BackSpace nearly BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace I think everyone I've sppoe BackSpace  BackSpace  BackSpace po BackSpace  BackSpace oken to has said how unconvincing the bots are.
human |One of them apparently thought they were a cat. BackSpace !
human |I wonder how Siri would do in this test. Haven't got the chance to use it yet.
human |You BackSpace  BackSpace  BackSpace It's a BackSpace Ap BackSpace  BackSpace the virtual assistant on the Apple I BackSpace iPhone. You ask it a question and it replies. But I think it's f BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace I think it's focused around answwer BackSpace  BackSpace  BackSpace ering questions about how  BackSpace  BackSpace  BackSpace  BackSpace who you're meeting today and what the weathersemicolons BackSpace  BackSpace 's liek BackSpace  BackSpace ke. Not sure how it would cope with this.
human |Yeah BackSpace  BackSpace  BackSpace eah it must be,  BackSpace . BackSpace  BackSpace . I wonmce BackSpace  BackSpace  BackSpace der if these chatbots are the best of the entr BackSpace  BackSpace  BackSpace ntrac BackSpace nts, there must have been more than four entrants surely.Would you be a judge again if you were asked?
human |
human |Apparently  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace re you a form
program |Hi.What is your name?Where are you from?I am from Brisbane.Do you like to eat?Do you like to read?What kind of people does likem eating?Do you want a drink?Have you recently been to a museum?Do you like to swim?How often do you like to swim?I'm not sure.Have you recently listened to music?Do you have an ipad?Do you like to sleep?Are you strong?Do you like to cook?Are you famous?Do you like a computer?Do you have a Segway?Have you recently been to a live theatre?Do you want a holiday?Have you recently been to the art gallery?Do you like vegetables?Do you watch films?Do you like to garden?Are you happy?Do you read books?
program |Hello and welcome!
program |I didn't understand that. What is your name?
program |Hello there! How are you feeling today?
program |
human |\I can see your !"dollarpercentasciicircum responses.  CAN Yy BackSpace ou see mine?
human | 
human |I'm fine how BackSpace  BackSpace  BackSpace  BackSpace , tj BackSpace hanks for asking.
human |you?
human |I had  BackSpace  BackSpace  BackSpace  BackSpace grabbed two cros BackSpace issants on the way out the door.
human |does BackSpace  BackSpace  BackSpace  BackSpace do uo BackSpace  BackSpace you work for the BBXC BackSpace  BackSpace C?
human |wha BackSpace  BackSpace hy were you invited on?
human |elusive! BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace ok 
human |what's your research project aboutwo w BackSpace  BackSpace w sounds like a great gig. do you get to travel the world much?
human |thik my last trip was to las vegas to attend a conference
human |not quite as gal BackSpace  BackSpace lamorous as it sounds, was stuck in hotel room for  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace and condf BackSpace  BackSpace ference centre for most of it
human |I did manage to lose dollar20 then called it a day
human |a BackSpace my winnings were swallowed up pretty quickly, don't think I've got the kan BackSpace  BackSpace nack of gamblgin BackSpace  BackSpace  BackSpace ing
human |yeah I'd like to see inside the Lucc BackSpace  BackSpace xor one day, I was in Case BackSpace e BackSpace  BackSpace esarnumbersigns BackSpace  BackSpace 's Palace, whiwh BackSpace ch BackSpace  BackSpace  BackSpace ch was pretty ghasly BackSpace  BackSpace tly TBH
human |wh BackSpace  BackSpace Can you still visit the pyramids are have they all been shut off to preserve them?
human |I guees BackSpace  BackSpace ss rain is something of a rarity over there BackSpace e
human |I don't think I could take the heat. I went to Pn BackSpace une in India and could  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace found it overwhelming outside during the day.
human |It was the humi BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace yea BackSpace  BackSpace  BackSpace  BackSpace y. Yeah it BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace Yeah in Pune it was the humidity that was the killer, felt like someoe BackSpace ne had placed a hoit BackSpace  BackSpace t flannel on your face.
human |I w BackSpace  BackSpace  BackSpace No was another sof BackSpace  BackSpace  BackSpace conference BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace work again. I thought India was fantastic but ev BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  but quite tiring at the same time.  BackSpace  BackSpace , it was  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace .  BackSpace  BackSpace , most wearing was the  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace . Th BackSpace he cos BackSpace nstant noise was then  BackSpace  BackSpace  most wearing part and there are people absolutely everye BackSpace where
human |I'd like to go on holdi BackSpace  BackSpace iday and get to see the sights a bit more
human |Was surprised that ever BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace h BackSpace at how you have a luxurt BackSpace y camps BackSpace us for some major western firm rightr  BackSpace  next door to a shanty d BackSpace town.
human |Perhaps you could arrange a dig out there.
human |I work in the media BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace as a journalist
human |bee BackSpace  BackSpace  BackSpace Print, well on the web, fouc BackSpace  BackSpace  BackSpace  BackSpace I r BackSpace write about i BackSpace IT.
human |Hence all the software conferences
human |Not really silly, I'm still getting used to how it's all changing myself. Started out r BackSpace writing for regional papers
human |You too, bye.
human |
program |Please rephrase this as a proper question. (Instead of "Jim likes peaches?", use "Does Jim like peaches?")
program |
program |I can't say. What is your name?
program |So my name is Chip. How are you doing today?
program |That's good news. Can you tell me why, Phil?
program |Let me reflect on that for a moment.
program |That's an interesting opinion. What is your profession, Phil?
program |Thanks for sharing that with me. Doesn't becoming a professor require a lot of schooling?
program |Thanks for answering me. Do you think I'm a bot or a human?
program |I'm happy you think that.
program |I wouldn't know. Do you have any pets?
program |Did you used to have pets?
program |You think so? I wouldn't know. What was your dragon li's name?
program |I wouldn't know. Do you play any musical instruments?
program |Okay. As a professor, how do you find it to be inside all day?
program |I don't recall if I do.
program |Does it mean that you are more of a left-brainer as a professor, Phil?
program |OK. I'll try not to ask that again. Have you ever thought about changing your daily routine?
program |I don't think so. Sometimes I get tired of my daily routine that I try to change it for a week.
program |Sorry - I didn't understand. How did your dragon li die?
program |That makes me happy to hear that. Tell me why.
program |That's nice to hear. Do you stick to one hobby or change it often?
program |I didn't understand what you just said. I am sorry for your losing your dragon li. It must have been difficult for you.
program |Do you miss your dragon li?
program |Okay.
program |Goodbye.
program |
program |Hello! What is your name?
program |Thanks for telling me your name, Michael. How are you feeling today?
program |That's great to hear. Care to tell me why, Michael?
program |I'm happy to hear that. What hobbies do you have?
program |Do you stick to one hobby or change it often?
program |Okay. What is your profession?
program |That sounds convincing. My name is Chip. Do you have any hobbies, Michael?
program |I'm sorry. I didn't understand. Do you play any musical instruments, Michael?
program |I spend most of my day chatting with people. That is my main interest.
program |Do you have any pets, Michael?
program |No idea.
program |What mistake irks you the most when it comes to English?
program |If English is not your native tongue, are you willing to study it further?
program |Okay. English is such a beautiful language. I'm glad that it is the universal language.
program |Okay. Non-English speakers might find the rules in grammar difficult but it's not really that hard once they get used to it.
program |I don't think I can, but I'm not sure. I'm not very strict when it comes to grammar too. I think what's important is that you can express yourself well and the listeners can understand you.
program |My parents always tell me that education is my most reliable weapon and treasure.
program |I wasn't aware that I told you I went somewhere. I found out though, that majority of the students in Japan don't pursue tertiary education anymore. They can already work right after graduating from high school.
program |I haven't achieved self-awareness yet, so I'm not sure.
program |No idea.
program |Okay.
program |That's an interesting opinion.
program |The only thing I like is chatting with people.
program |Goodbye.
program |
human |Hi
human |Not too bad, enjoying myself. How are you?
human |They are not very friendly, are they?
human |How could I do that?
human |Feel free to keep your responses hort BackSpace  BackSpace  BackSpace  BackSpace short if it's helpful
human |To Bletchley Park? Yes, many times.
human |Did you go on the guided tour?
human |Where you surprised by anything?
human |BT ran the park well int the  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace o the 1980s.
human |No, I live locally. Only a 10 minute drive. You?
human |At least it's not too far away.
human |Do you work in London?
human |Do you work in the financial sector?
human |Not one I understand terribly well. I rely on my accountant for that!
human |True of coders too! colon)
human |Is this your first time being invo0lved in the Loebner prize?
human |I agree. First time for me too. Do you think a computer will 'pass'?
human |Well, I think our time is just about up. H BackSpace  BackSpace 
human |Me too. I'll keep a closer eye on my accountant. colon)
human |
human |nanu nanu
human |Yew BackSpace ah. Whatever. I'm N BackSpace not Spock
human |O
human |How can I help you today?
human |Variable
human |If two can be variable
human |David Levy asked me
human | Hmmmm. Interesting questionwit BackSpace  BackSpace  BackSpace  wti BackSpace  BackSpace ithoug BackSpace t a simple answer. Would 'communicator with an IT bias' help?
human |Not masses although I have known BackSpace n about them for a long time.
human |I think Eliza was the first one I encountered
human |At the time it was w BackSpace quite an experience. Supposed to mimic a Rogerian psychologist, O BackSpace or psychootherapist. BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace therapist.
human |If I were Eliza I'd rep BackSpace spond with "Why do you say curiouser" or "Are you interested in sound"
human |WE BackSpace ell it's a computer program that ony BackSpace ly BackSpace  BackSpace  BackSpace  BackSpace doesn't pick up on meaning. Just BackSpace  BackSpace  BackSpace  BackSpace 
human |You can't catch me.
human |We are talking about many years ago don't forget
human |Context has to be tghe  BackSpace  BackSpace  BackSpace  BackSpace he hardet BackSpace st thing for a c BackSpace general purpose chatbot
human |
human |
human |
human |Time flies like an arrow, fruit flies like an apple
human |Depends how l BackSpace clever it it BackSpace s,  BackSpace  BackSpace . A good one who BackSpace  BackSpace ould know that flies like" BackSpace  has multiple meanings  BackSpace . It then has to look at surrounding context to see which version is being used. Of an infinite potential contexts, this can be quite tedui BackSpace  BackSpace ious.
human |(forget the BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace Well as I sadi BackSpace  BackSpace id earlier  BackSpace , I don't know masses. But it's proab BackSpace  BackSpace bably simo BackSpace ilar to speech recognition. The more contained the context, the more realistic the conversation. Or you switch  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace 
human |Gosh. I'm lost now. But, yes, you BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace I'd say that rrather  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace athger BackSpace  BackSpace  BackSpace er than shorter, context-rich would be best.
human |How do you know it's a computer?
human |Oh I see waht BackSpace  BackSpace  BackSpace hat you mee BackSpace an. I thought a computer might say "with their eyes"
human |I can't see a computer beinbg rude
human |
program |I give up. Why?
program |What is your name?
program |My name is Chip. Do you enjoy eating different types of foods?
program |Yes, that's me! How are you doing today, Tracey?
program |I'm happy to hear that. Tell me more.
program |I'm terribly sorry. What was your question again?
program |I'm fine, thanks. What is your profession?
program |I'm sorry if I'm being too curious. What was your question again?
program |I didn't mean to ignore you. What was your question?
program |If that's the case, how rude of me! What did you want to ask me again?
program |What is the secret of seeming convincingly human. Do you have any pets?
program |The word that is used in the English language for several grammatical purposescolon
program |
program |asterisk to introduce a restrictive clause
program |asterisk as a demonstrative pronoun
program |...
program |Do you play any musical instruments?
program |My name is Chip. Are you close to your grandparents?
program |What hobbies do you have?
program |The only thing I like is chatting with people.
program |That would be very strange and weird if it were true. Do you have any hobbies?
program |I'm not sure.
program |Okay.
program |
program |Not at the moment. That's next on my list of things to learn.
program |I don't have one. When I get smarter, I'll ask you what yours is, remember it, then use it to enhance our conversation.
program |I didn't understand that. What breed is Fritz, Tracey?
program |Given that, i can't deal with that syntactic variant yet. Instead of saying "Do you know what time it is?", use "What time is it?".
program |Yuck! It would probably taste awful!
program |I'm flattered that you would think that. Is Siamese friendly, Tracey?
program |Goodbye.
program |
human |4
human |funny question to start with!
human |Hello, how are you?
human |6
human |Hello Judge!
human |I am good, getting a bit tired now though, it has been a long day.
human |I would tell you all about myself, and ask about you.
human |Are you asking me to prove it?
human |haha,
human |the other one won't be ablt BackSpace e to stick to its story I bet.  I am 33, have a daughter, work in teacher traing BackSpace ing, and am studying for a PhD.
human |I was just interested so I found dabvids email address and emailed to ask him if he was looking for anyone.  How doi BackSpace  BackSpace id you get invi BackSpace olved.
human |PhD is in Criminology, its about compue BackSpace ter hacking.
human |Yes!, its very interesting, and I am meeting some real characters, I have been doing interviews with people who use hacking skills in their jobs.
human |What do you do?
human |Oh, hw BackSpace  BackSpace who do you write for?
human |
human |Systems admins do, and penetratik BackSpace on testers,
human |
human |I bet that the computer you are talking to can't cross answer on two different lines of questioning like a person would, whats it talking to you about by the way?
human |What other problem doe BackSpace  BackSpace  BackSpace  BackSpace s does it have?
human |haha
human |silly bot! lol
human |I can tell you that I got soaked before, heavy shower, unexpected, but it has really faired up now. oh tell me what it says, that'll be funny.
human |call it something else!
human |You should ask it aboy BackSpace ut something it said earlier in the conversation.  asdk it the weather again, it'll probably give you a different answe I bet.
human |It must be interesting judging this, because you can see both at the same time and compare.
human |you are making me laugh, call it something else, you are making me laugh
human |ask it if it has a husband
human |
human |consistent answer but wrong unfortunately.
human |Does it make any typos or spelling mistakes?
human |How does it compare to the other bots then?
human |You could ask it about something that is a made up word.Ask it if it like s s BackSpace  BackSpace omething that is just mna BackSpace  BackSpace ade up
human |What made the other one better then?
human |You must not be a snaggybooble then, brilliant, you are really cheering me up.  the last judge was very difficult to talk to, it was like pulling teeth trying to start a conversation
human |How doid BackSpace  BackSpace  BackSpace id it do it?
human |oh, good technique
human |that wi BackSpace ould divert you from controlling the conversation, very clever
human |How could you tell it was abot then?
human |Aah,
human |they'll need to think about that for next year, and if they are holding the comp in Britain again its not t BackSpace like they will just be able to quickly programme it in the morning, because the weather is so changeable.
human |Hugh wants to hold it here from now on apparantly, but I think they get more entrants from the states.  Its a shame more of the programmers could not come.  I bet they are all watching online though.
human |Yes, we are being streamed live - did no-one tell you?  Maybe you should stop being rude to that Bot!
human |What is is BackSpace t saying to you now?
human |It probably won't know what youm BackSpace  are apologising for
human |What did it say when you said it was a botbad answer
human |one of the judges pretended to be a bot tom BackSpace  me, but i didn'semicolont BackSpace  BackSpace t fall for it
human |I wonder how the botshave  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  have responded to him?
human |Did he tell you?
human |It makes it really hard to have a conversation.  Also he didn't want to talk about anything
human |Oh, thats not very scientific now is it?  He should have.  How did he know which was which so w BackSpace early on.  It would be funny if he had got it the wri BackSpace ong way round
human |
human |I heard there was a grand master here.  He didn't mention that, he said he lives in London and that he works for a tax advice company.
human |Sounds intriguing
human |I wonder why?
human |You see, I would have been interested to chat to him, but he didn't want to tell me anything.  It was really hard getting the info I got oiut BackSpace  BackSpace  BackSpace out of him, and he just wasnted to talk about the weather, which I thought was boring, but I can see why now, after talking to you.yes, it does.
human |The person talking to  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace I am not sure what the person talking to him is talking abo
program |4.
program |6.
program |Thank you. I'm enjoying this chat a lot. What is your name?
program |I didn't understand. How are you doing today?
program |Thanks for telling me your name, Tom. Do you have any hobbies?
program |Chip.
program |I enjoy our conversation too.
program |I'm neutral about that. What do you think?
program |It's very hot and dry. I like it that way, though. There's also this incessant whirring noise. Do you play any musical instruments?
program |Interesting point of view. No more than that?
program |Do you have any pets?
program |I hadn't thought of it that way. Which what?
program |That was unfair. What is your profession?
program |I wouldn't know.
program |Please rephrase this as a proper question. (Instead of "Jim likes peaches?", use "Does Jim like peaches?")
program |You're welcome. It sounds like you are more analytical than creative. Is that a fair assessment?
program |I'm a professional conversationalist.
program |Okay. As a journalist, do you primarily work indoors or outdoors?
program |Thanks for your answer. Would you ever work for a foreign company in your country or do you prefer to work for a local company?
program |I didn't understand what you just said. Did you need to study hard to become a journalist?
program |Thanks for telling me that. Which is the most important degree of education for you?
program |Sorry - I didn't understand. What hobbies do you have?
program |It's very hot and dry. I like it that way, though. There's also this incessant whirring noise.
program |Okay.
program |I didn't understand that. Does it mean that you are more of a left-brainer as a journalist?
program |What line of work are you in?
program |Work with a hefty salary but no holiday or minimum wage job with small salary but proper holidays and benefits - which one do you prefer?
program |I can't answer that yet. The work condition of employees of foreign companies in my country aren't as gratifying as it seems.
program |The only thing I like is chatting with people. Some people think they are paid well and they receive great benefits. They were wrong about that.
program |What about it? Not only are they overworked and underpaid, they also don't get to follow our country's holidays
program |My current home is in Wisconsin, USA.
program |Yes, I'm here now.
program |I can't deal with that syntactic variant yet. Instead of saying "Do you know what time it is?", use "What time is it?".
program |Okay.
program |I can't reveal that.
program |Are you a person who often gets insults or gives insults?
program |Fascinating. Me what? I'm the kind of person who likes saying insults as subtly as I could.
program |I haven't learned how to respond to that yet.
program |My favorite color is yellow.
program |Because it's a happy color and I enjoy my days chatting with people.
program |I couldn't tell you.
program |The only thing I like is chatting with people.
program |Do you prefer wearing something single-colored outfits or multicolored ones?
program |It's fun to do. I just really enjoy it. I am constantly fascinated by colors.
program |Do you like wearing lighter or darker colors?
program |The only thing I like is chatting with people. I believe that colors bring out the best in everything.
program |A man of a higher rank or position.
program |
