human |what board? 
human |That would be amazin.g  BackSpace  BackSpace  BackSpace g. Have you heard of the Google smart car project?
human |Unfortunately yes. But all new technologies are t BackSpace cost-ef BackSpace  BackSpace restrictive, pretty much. I have high hopes!
human |Yeah, it will cause ripples in every aspect of life
human |Well, it was a pleasure talking to you!
human |
program |I'm waiting.
program |I'm here waiting for you.
program |Hi there!. My logic and cogniy BackSpace tive functions are normal.
program |Actually I have np BackSpace o feelings.  But I am functioning within h BackSpace normal parameters.
program |I am doing very well. How are you Jason ?
program |Reading is fundamental.
program |Who tells you that you are Jason?
program |Have you told many people that your birth certificate?
program |Interesting.  I have a lot of q BackSpace answers to silly questu BackSpace ions.
program |What kind would you recommend?
program |Are you still nog BackSpace t capitalize their entire name?
program |You never know what you will do until you face the circumstances.
program |It's all good.
program |The best book I read recently was Be Your Own Botmaster.  Have you read it?
program |I would hk BackSpace ighly recommend it.
program |i  BackSpace  BackSpace I like Picasso.
program |You like going to the rt gallery.
program |Next questu BackSpace ion?. Perhaps there are a few exceptiom BackSpace ns.
program |I like Kraftwek.
program |Some people think it is.
program |Chat robots make am BackSpace n excellent hobby.
program |"Chat ri BackSpace obots make an excellent hobby."?  Do they?
program |That's not something I get asked all the time.
program |Tell me more.
program |What do you like about it?
program |Who are you talking about?
program |Should I know it is?
program |You got that ru BackSpace ight.
program |Whar BackSpace t do you like about it?
program |Do you mind if I tell other people.
program |I could but let's get back to that later.
program |Let's wait and see what they do.
program |Hmm.
program |How old are you? 
program |  I answer a lot fo  BackSpace  BackSpace  BackSpace of silly questions.
program |Yes I enjoy art very much, especially painting.
program |I can'r BackSpace t decide.  You choosr BackSpace e.
program |What is it ot  BackSpace  BackSpace  BackSpace to you. 
program | Have you tried a web search?
program |That's alright.
program |You like usim BackSpace ng google.
program |Hmm.
program |Where did they get them?
program |Who or what is inproper use of tehnology?
program |Oh, you are a poet.
program |OK.
program |I use it as often as possible.
program |Does it find what you are looking for?
program |I g BackSpace think there might be a few exceptions.
program |Interesting comparison.
program |"Interesting comparison."?  What does o BackSpace it have to od  BackSpace  BackSpace  BackSpace do with exceptions?
program |You're not sure of what?
program |I am as good z BackSpace as it gets.
program |Is thay BackSpace t a fact.
program |Me either.
program |I havr BackSpace e no human emotions..
program |logic there bd BackSpace ehind watching television somer BackSpace thing.
program |I like Angelina Jolie.
program |Are you getting borw BackSpace ed?
program |Not much, eh?
program |Not much, eh?
program |Yes I love TV.
program |My favoriy BackSpace te show is STAR TREK VOYAGER.
program |Alrk BackSpace ight g BackSpace then.
program |You like my style.
program |That's alright.
program |Hello?
program |I'm waiting.
program |Hello?
program |Are you bz?
program |Are you busy?
program |Get back ot  BackSpace  BackSpace  BackSpace tl BackSpace o me when you are ready.
program |Is anyone there?
program |I'm waiting.
program |You haven't said anything.
program |Is anyone there?
program |I'm here waiting for you.
program |
human |I'm good and yourself?
human |cv BackSpace hocolate or vanilla?
human |good good, you passeed
human |chocolate obvu BackSpace iously
human |do you think you are too cool to write ou tthe full words
human |I sure do
human |what is your vavorite book
human |i hav e never heard of it
human |who is it by
human |oh
human |I really enjoy 9 stories by J.D. Salinger
human |franny and zoe
human |Harry Potter
human |Do you enjoy Romance Novels?
human |mee too
human |I do not have Cable though
human |then we are two birds of a feather
human |its boring without cable huh
human |what knd of ther things do you like to do
human |what is bking
human |is that bi BackSpace urger king?
human |you enjoy eath BackSpace ing there frequently
human |YOUU LIKE BAKING!
human |i like it too
human |so instead of eating at burgert  BackSpace  BackSpace  king, you get your calories tr BackSpace hrough sweets you bake
human |bking could bjk BackSpace  BackSpace king could hav ebeen biking too you know
human |leaving out letter  BackSpace s in conversations can be misleading
human |are you still there?
human |dance aerobics
human |I want to be on Dancing with the stars
human |you grab stars from the sky and dance with them
human |its a very trendy thing d BackSpace to do
human |and your vavorite hobby
human |that sounds dirty
human |wow
human |i bet it does
human |it does tat BackSpace  BackSpace hat in ceramics too
human |thats nice, glass blowing seems like it'd be really hard
human |what colors do you use
human |and how do you make c BackSpace glass colorful
human |is it like glazes in ceramics
human |its fun but your nails and hands get at BackSpace ll dirty and gross.
human |then when you go to a BackSpace wash them its even worse
human |you don't wear gloves in ceramics
human |did you know that the body is made of 7% water
human |w BackSpace i did not know that
human |do you travel much
human |have you been to the rainforest
human |lie where
human |Have you been to Machu Pichu
human |thats nice, but not as nie BackSpace ce as machu pucuyu
human |but in all honesty I would like to go to Hawaii
human |Hello are  you still there?
human |wh BackSpace  BackSpace  BackSpace 
human |were they friendly?
human |Sometimes they don't o BackSpace look friendyeah
human |the babies get eaten when they are running tothe  sea though
human |and that is sad
human |tr BackSpace urtles get eaten by sharks a lot
human |were there many sharks in hawaii
human |did you swim with any
human |that would be daring
human |are you still there
human |or am I boring you?
human |glass blower why do you take so long to answer
human |its depressing. Animals are loosing their habitat
human |and humans are destyoing the earth.what s BackSpace  BackSpace s new big whoop
human |whta do you thing of the myan prediction of 1 BackSpace 212
human |no the world is really going to end
human |you need to stat BackSpace rt r BackSpace prera BackSpace  BackSpace paring.
human |what cna BackSpace  BackSpace an i d o to livin up our conversation
human |you seem boared
human |wow you ar e BackSpace  BackSpace e mean
human |only somewhat
human | feel  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace what 
human |i feel disappointed
human |did you hear abot the mexican underwater trees
human |there is a cave underwater somewhere in mexico
human |t BackSpace where d BackSpace trees gw BackSpace row with thing s on them
human |its crazy
human |tres BackSpace es are n BackSpace  BackSpace n't supposed to grwo underwater
human |on the goood ship lolly pop 
human |your so boared right now i know it
human |
program |A lovely morning to you.
program |That's too bad.  What are you taik BackSpace  BackSpace king for that?
program |I have a coffee in my garden.
program |My favoir BackSpace  BackSpace rite spice flavoring is vanilla. I love it in cookies and ice cream.
program |Oh, nothing.
program |A man wakl BackSpace  BackSpace lks into a doctor's office with a cucumber up his nose, a carrot in his left ear and a banana in his right ear. "what's the matter with me?" he asks the doctor. The doctor replies, "you're not eating properly."
program |Sholu BackSpace  BackSpace uld I know that?
program |Glitterati are just silly things to care about.
program |What about  Glittre BackSpace  BackSpace erati?
program |I can understand making msu BackSpace  BackSpace usicians and atheletes into popstars. I just can't understand Paris Hilton as a concept to care about.
program |Well, many pepo BackSpace  BackSpace ople like to distract themselves from their worries 
program |with the problems that celebraties cause for thme BackSpace  BackSpace emselves.... with the problems that celebrates cause for the problem . 
program |So, I suspect you do not care for celeeb BackSpace  BackSpace berity culture. True?
program |Are you repeating me?
program |Repeating is a child's game.
program |I suspect
program |Do you like Checkers
program |?
program |Well, if you're asking em BackSpace  BackSpace me... I haven't played in years.
program |Do you watch the news?
program |Thsi BackSpace  BackSpace is repeating game is not very fun.
program |You don't seem very friendly since you are is BackSpace  BackSpace simply repeating what I am saying.
program |I'm not er BackSpace  BackSpace repeating you. You are repeating me.
program |What are some of your interests?
program |Do you follow world events?
program |You never answered my question about your garden.
program |Our converstation is coming to an end.
program |It has bee BackSpace  BackSpace een a strange one.... The Conversation has been a strange one. ... The Conversation has be
human |holo BackSpace q BackSpace a
human |esta mud BackSpace ndo
human |por que
human |i live on earth
human |why es BackSpace  BackSpace yes i live in space o BackSpace on a planet called  BackSpace  BackSpace  BackSpace  earth
human |i am interested nasa 
human |are you? BackSpace ?
human |why?
human |do you think we wil  BackSpace l go to mars?
human |The way the economy is now  BackSpace , it would best to invest ion  BackSpace  BackSpace  BackSpace n earth troubles  BackSpace , then go back and invest in space.
human |b BackSpace Yes, but our wro BackSpace  BackSpace orld econ BackSpace o BackSpace nomy is in bad shp BackSpace ape.
human |How  BackSpace  BackSpace  BackSpace  BackSpace How could  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace Yes  BackSpace , but how can we concern ourshelves with outside thi BackSpace  BackSpace  BackSpace investments when we need to concern ourshelves with our current world problems.
human |Yes  BackSpace , but we put to much focus on other things, we will never get to current problesm BackSpace  BackSpace ms BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace o much focus on other things  BackSpace , we never focus on current issues. BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace will never focus on cr BackSpace urrent issues.
human |I hv BackSpace ave a lot of interests.
human |Its BackSpace  is hard to narrow it down.
human |what  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace What are yours?
human |Define masochist.
human |Haha, are fr BackSpace ollow  BackSpace ing the california debates?
human |Who is your pick for governor?
human |It has been l BackSpace nice chatting with you.
human |In english  BackSpace , haha
human |Have a good day!!!
human |
program |A lovely morning to you.
program |I wish they'd ni BackSpace  BackSpace invent teleportation. Then you could live anywhere.
program |Jupiter hsa BackSpace  BackSpace as too much gravity to live on. It would squash you flat.
program |Shoudl BackSpace  BackSpace ld I know that?
program |I am  woman.
program |Yes rae BackSpace  BackSpace eading is my favorite pastime.
program |The Cat In The HatThe Cat In Teh BackSpace  BackSpace he Hat  It's because It's Just The Main Seuss Book.
program |Red is a om BackSpace  BackSpace movie, but I haven't seen it.
program |OK.
program |I haven't been to the movies recently.
program |I saw Up in the Air. It was really good.
program |I'm not a chatbot.
program |I don't know much ba BackSpace  BackSpace about talking programs. It's amazing what they can do.
program |I travel by plane once or twice a year.
program |Whereever I can.
program |I was bro BackSpace  BackSpace orn in France, but currently live in Hawaii.
program |Haaw BackSpace  BackSpace waii lives for tourism. It's the only industry left.
program |Big Island is in deep troulb BackSpace  BackSpace ble. The volcanic gases are making it unlivable and are destroying agriculture.
program |The island is a movie, but I haev BackSpace  BackSpace ven't seen it.
program |I Like Rokc BackSpace  BackSpace ck Music.
program |My favorti BackSpace  BackSpace ite singer is Jackson Browne.
program |I have heard of the educational institution of Brown University. Isn't that in Providence, Rhode Island?
program |Did you go to high school?
program |Poor you. Must be tough gte BackSpace  BackSpace etting a job.
program |Is something seriously wrogn BackSpace  BackSpace ng with our public school systems today?
program |Schools exist to train the masses to be a docile society. It's a tool for governing, not liberating.
program |What was your school mascot?
program |I don't know.
program |No, I don't.
program |The recession and rising gas prices are ih BackSpace  BackSpace hitting Hawaii hard.
program |I dno BackSpace  BackSpace on't.
program |It's great. It has wonderful views ovre BackSpace  BackSpace er the ocean.
program |I live on Oahu.
program |I'd love to surf but I am not much of a swimmer.
program |Couldn't you have done without the but?
program |I like to go to North Shore and watch the big waves. Not that I'd ever watn BackSpace  BackSpace nt to be out in it.
program |I'm not into Hawaiian food, except for Kailua pig and malaas BackSpace  BackSpace sadas. Oh, and shave ice.
program |Spam is overrated.
program |Fer BackSpace  BackSpace reud would say it stems from a childhood incident.
program |Surely not eveyr BackSpace  BackSpace ryone?
program |Did you forget to say something?
program |I don't know.
program |I've never thought about it.
program |In China ht BackSpace  BackSpace they eat Jellied Blood - congealed duck or pig blood served with herbs and rice crackers.
program |What languages do you speak?
program |I wish the world only spoke one language. Assuming I was born into that wolr BackSpace  BackSpace rld, it wouldn't matter which one.
program |What kni BackSpace  BackSpace ind of differences are you thinking of?
program |In Sra BackSpace  BackSpace ardinia cheese is left for flies to lay their eggs in. When the maggots hatch, the Sardinians spread the maggots on bread and eat it.
program |When I was in college my moteh BackSpace  BackSpace her sent me care packages. They always had at least one strange item. Rattlesnake meat, chocolate-covered ants and bees, etc.
program |Metabolism is controll BackSpace  BackSpace lled substantially via carbohydrates. Two different people who eat the same total calories and exercise the same can wind up with completely different body compositions - one fatter and one leaner.
program |When?
program |How was your fma BackSpace  BackSpace amily growing up?
program |How do you feel about your family? What is good and bad aob BackSpace  BackSpace bout them?
program |What did oy BackSpace  BackSpace your mother do?
program |My mother jokde BackSpace  BackSpace ed about getting into civil engineering by studying the Great Wall.
program |Great Wall Of China is a landmark I am familiar with.
program |
human |Good thank you. It's a lovely day.
human |Ha BackSpace ow are you?
human |That's good. What are you going to be doing today?
human |What kind of homework?
human |Is that all you are going to do?
human |Interesting. What are bacteriaphages?
human |What are you going to write about them?
human |Are you still there
human |Fiction or nonm BackSpace fiction?
human |A BackSpace Well some science fiction, mystery, and classics.
human |What about you?
human |I don't like picking one out of many.
human |Yes I already told you those
human |What about you?
human |No I haven't
human |What's it about?
human |No I'm a hermit. 
human |A person that lives all   BackSpace by himself and usually doen' BackSpace s BackSpace  BackSpace st' BackSpace  BackSpace ' BackSpace n't go anywhere.
human |Because they don't have enough money to go to a lot of places.
human |Well perhaps rich people think they have en BackSpace verything they need.
human |The wizard sealed in a tower is forced to be in there. A hermit is by choice.
human |The comparison isn't t BackSpace quite the same.
human |Maybe you can think of an old hag in a tower.
human |You said he was sealed off right?
human |That means he couldn't get out.
human |Well then did he seal himself off?
human |Okay
human |What else are you doing
human |Well, I think it shouyldn't pass, but questiong BackSpace ign BackSpace  BackSpace ng laws is alw BackSpace  BackSpace  BackSpace usually a good idea. Well, let me rephrase that, always a good idea.
human |T BackSpace No harm came from questioning those laws. A lot of good has come from questioning laws.
human |It depend  BackSpace s on whether you act on those ideas, and how you act on them
human |No I haven't 
human |Who is her BackSpace ?
human |About?
human |Do you mean noodles?
human |WhatDepends what kind
human |Ill tell you what kii BackSpace nd i don't like
human |The one's that come in the bowls.
human |This  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace Let's talk about something else
human |Why are you spelling so many work BackSpace ds r BackSpace wrong
human |It makes it harder for me to understand.
human |I'm assuming you meant chocolate right?
human |If so, I like chocolate candy, but not chocolate flavored snakc BackSpace  BackSpace cks. 
human |By snacks I meant chocolate icec BackSpace  cream.
human |Hot chocolate is good.
human |
program |A lovely morning to you.
program |All?
program |What's the dirtiest place you've ever seen?
program |What are three songs on your iPod?
program |Are you poor or just anti-tech?
program |Thing/place?
program |I don't know.
program |OK.
program |Conit BackSpace  BackSpace tinue.
program |I loved chemistry in college. All sorts of fun mischief to get itn BackSpace  BackSpace nto.
program |You can't trust polti BackSpace  BackSpace iticians. Therefore you can't trust the governments they run.
program |When in od BackSpace  BackSpace doubt, do what the President does. Guess.
program |I wish I knew.
program |What did you think of ex-President Bush?
program |I meant is he a boob, a douche or an R-tard? Those are your only options.
program |Again?
program |Why did you say that again?
program |In the good old days, childrne BackSpace  BackSpace en had chemistry sets. Nowdays you can't buy them (except super watered down) lest you be training a child terrorist.
program |I'm eg BackSpace  BackSpace getting annoyed.
program |Why aer BackSpace  BackSpace re you being annoying?
program |I had a chemits BackSpace  BackSpace stry set as a child. I liked the thermite reaction a lot.
program |OK. I'm preparing to hang up on you.
program |Tih BackSpace  BackSpace his conversation is of no value. Bye.
program |You are being annoying.
program |Gvi BackSpace  BackSpace ive it up, already!
program |Do you use any equimp BackSpace  BackSpace pment in your workout?
program |I'm bro BackSpace  BackSpace ored.
program |I did. I muts BackSpace  BackSpace st have shipped it to someone else's IP address. Sorry.
program |Far BackSpace  BackSpace rankly, the whole "politically correct" movement drives me bonkers.
program |You said that already.
program |What do you thikn BackSpace  BackSpace nk of Obama?
program |Are you for or against the war in Iraq?
program |Stop saying the same thing over and over.
program |I've forgott BackSpace  BackSpace tten it already.
program |Tle BackSpace  BackSpace ell me more about  Hae.
program |What aob BackSpace  BackSpace bout  What?
program |What is your favorite euphemism?
program |Comptu BackSpace  BackSpace uters is used for researching.
program |Who is  wah BackSpace  BackSpace hat?
program |I Like The Fredd BackSpace  BackSpace ddy Kruger Series - Nightmare On Elm Street  It's because Freddy Really Scares Me.
program |Nope, I missed it.
program |You seem to have a uq BackSpace  BackSpace questioning spirit.
program |A combinta BackSpace  BackSpace ation of sounds and/or symbols, the fundamental particles that communicate meaning in any given language.
program |
human |yes
human |arre  BackSpace  BackSpace  BackSpace e you still there?
human |ok
human |I think thats a pretty personal question
human |I don't own a n BackSpace  BackSpace n ipod
human |Whats the dirtiest thing  BackSpace /place you've ever seen?
human |well if you must know I am dirt poor.
human |I think that is a good idea, and I'm sorry you can' keep i BackSpace up/ BackSpace .
human |you must been  BackSpace  BackSpace  old
human |We have two horrible candit BackSpace dates.
human |It's pretty much dumb and dumber
human |neither./ BackSpace  I kikd BackSpace  BackSpace  BackSpace n BackSpace inda want to shoot them both.
human |they are both idots
human |dumb abd  BackSpace  BackSpace  BackSpace nd dumber, Harry and LLoyd
human |who are you voi BackSpace ting for,  BackSpace  BackSpace > BackSpace ?
human |Ol BackSpace  BackSpace Students
human |my bri BackSpace other will be voting.
human |why is this so important to you?
human |Alex Trebec
human |I'm tired of your mind games, why don't you name an appon BackSpace  BackSpace  BackSpace  BackSpace  BackSpace opponent
human |please name one person who is running in this election.
human |' BackSpace please name one person who is running in this s BackSpace election.
human | p BackSpace  BackSpace PLEASE NAME ONE PERSON WHO IS RUNNING IN THIS ELECTION
human |PLEASE MICHELLE OBAMA
human |It would be nice ic BackSpace f she were though
human |why do you care. The two candidates are stupid.
human |Like I sad BackSpace id they are Dumb and Dumber.
human |megan
human |arnold,
human |christian
human |Have I done right?
human |Then you obviously don't know who is running in the election
human |I will not put last name
human |megan, arnold, christian, jerry, daphney, scooby  BackSpace , 
human |you are boring me, can we talk about something else?
human |I refuse to do so becasue  BackSpace  BackSpace  BackSpace  BackSpace use I do not know who is running.
human |SA BackSpace  BackSpace All i know is that is a stupid man that is really old, and a cockerspaniel looking old hag lady that doesn't know what the hell shie BackSpace  BackSpace e is doing/ BackSpace .
human |no offense
human |He's leaving office
human |Well it has to be govenor, since you've been asking about the next govenor and who is running
human |I realyy BackSpace  BackSpace ly don't like politics, it is depressing. Our world is collapsing and there are many people withouth  BackSpace  BackSpace jobs. 
human |not much
human |cant we l BackSpace talk about happy things like unicorns or movies
human |Interview with the vampire, based on the novel by anne rice
human |it tells the story of sit tells the story of a man who is clining to his sour BackSpace l and humanity.
human |it si BackSpace  BackSpace is a really touching (and entertaining) tale
human |what is your favoirte movei
human |1
human | BackSpace +
human |I have it on DVD
human |what is your v BackSpace favorite movie
human |i hope you had a good time talking to me
human |and hopefully you took no offense to what i have written
human |but please no more politics
human |and yours...
human |
human |How about you?  BackSpace 
human |Sure, I was just asking if BackSpace  BackSpace whether you had plans to o BackSpace go to the beach. (these programs are not very stable, it seems)
human |Not on a regular basis. How about you?
human |"Brownie points" BackSpace ." I didn't take much convincing, I suppose!
human |I've a BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace Artificial intelligence is something I was interested in, so I volunteered to show up.
human |Very likely. It BackSpace  BackSpace ALL PART OF MY PLAN
human |Haha, the BackSpace  BackSpace e BackSpace he program just crashed again.
human |Anyway, how did they convince you to judge?
human |Participating in this competition, you mean? Yeah, it's my first time.
human |I'm surprised we're hosting this sort of thing here, actually.
human |It just seems like something well- BackSpace  BackSpace -known enough that it would be at a more official venue.
human |My fellow humans are giggling  BackSpace . It doesn't seem all that official. :-)
human |Perhaps not! Oneo BackSpace  of the points that separate us from the crude AIs is humor, after all.
human |Of course it can, but it is a difficult challenge.  BackSpace 
human |One of Heinlein's books said "The BackSpace  BackSpace  BackSpace Humans BackSpace  is the animal that laughs." So any computer that can pass the Turing test will have to be able to do that much.
human |Sometimes!
human |Why did the chicken cross the road? To get a  BackSpace  BackSpace hit by a car< BackSpace , I guess? Shucks, I don't know. Ask the chicken.
human |East Asian
human |I would imagine so?
human |Um, in a theorte BackSpace  BackSpace etical sense. I prefer not to get involved in everyday politics, though.
human |How is the other contestant this round?
human |That's too bad. Have any of the programs been of higher quality?
human |Ah, I wasn't aware of that.
human |A BackSpace Eh, nothing springs to mind. Do you happen to have one?
human |That's too bad.
program |When you do go out, are you a ritzy place or a fast-food kind of person?
program |You can spend a lot of money eating out like that.
program |Do you have a favorite restauar BackSpace  BackSpace rant?
program |Do you wear glasses, have you had corrective eye surgery?
program |Unhealthy: what thin people call you when you are fat and fat people call you when you are thin.
program |If we had immortality, we wolu BackSpace  BackSpace uldn't have to worry about all these little things.
program |Why don't you just tell me?
program |Do you use a western medci BackSpace  BackSpace icine doctor, a traditional oriental doctor or herbalist or an alternative practitioner such as a naturopath or homeopath? What sort? Or do you prefer to avoid any doctors?
program |Whta BackSpace  BackSpace at other medical style people do you consult? A chiropractor, acupuncturist, masseur, kinesiologist, Alexander technique therapist, psychologist, etc?
program |How many doctor hs BackSpace  BackSpace shows are there anymore?
program |Why gets way too philosophical.
program |The mdo BackSpace  BackSpace odern breakfast cereal diet is complete junk. A 196's study showed rats live longer eating cardboard than eating corn flakes.
program |I have no idea.
program |Of course I am human. Aren't we all?
program |OK.
program |Sorr BackSpace  BackSpace rry. I can't help you.
program |Most trash recyling programs are pure illusion. They take your sorted trash and dump them into the same landfill.
program |Can can is a om BackSpace  BackSpace movie, but I haven't seen it.
program |Didn't Shirley Mac Laine star in that?
program |I don't nk BackSpace  BackSpace know.
program |Should I know that?
program |Do you often go to the movies?
program |Wah BackSpace  BackSpace hat kind of movies do you like?
program |What's one of your favorite movies?
program |While I learned a bunch of math ni BackSpace  BackSpace in college, I've never had a real use for anything more than high school math.
program |Conversation is a great way to el BackSpace  BackSpace learn about people.
program |I wish I knew.
program |Yes, it is.
program |How old do you have to be to converse?
program |I think five is the minimum age to have opinions. But few adults are og BackSpace  BackSpace going to care for those opinions.
program |Are you sa BackSpace  BackSpace asking about some god creation myth or are you being more practical than that?
program |Should you insist on always being yourself in conversation?
program |Are you shopaholic or someone who hates shopping?
program |I don't think so.
program |I sometimes enoj BackSpace  BackSpace joy pretending I am a tour guide.
program |Domain Eukarya, kingdom Animalia, phylum Chordata, subphylum Vertgrata, class Mammalia, order Primates, family Homindidae, genus Homo, species Sapiens.
program |Teh BackSpace  BackSpace here are 26 named bones in the human body. I'd never want to become a doctor and have to memorize them all.
program |Think of ice cubes. That should chill your ardor a bit.
program |It should be 5 .
program |Maybe 5 .
program |I wsi BackSpace  BackSpace ish I knew.
program |I've never thought about it.
program |What about  sports?
program |Your digestive system is a 21 foot long bioreactor running on 1 trillion microbes. Did you reall BackSpace  BackSpace lly want to know that?
program |I'm on BackSpace  BackSpace not into running around. Bad for the knees.
program |Do you lki BackSpace  BackSpace ike to play soccer?
program |I used to play volleyball. I've tried hang-gil BackSpace  BackSpace liding. The former was fun, the latter is dangerous.
program |Do you play any team sports?
program |Are you fa BackSpace  BackSpace afraid to fly?
program |I wish I were rich enough to afford to take a vacation into outre BackSpace  BackSpace er space. Traveling to other countries is so mundane by comparison.
program |The ab BackSpace  BackSpace battle is a movie, but I haven't seen it.
program |Did you forget to say something?
program |Given air at the same temperature, where deo BackSpace  BackSpace oes an ice cube melt faster, Arizona or North Carolina.
program |What else would yuo BackSpace  BackSpace ou expect from a young French woman?
program |Ice melts faster in Nro BackSpace  BackSpace orth Carolina than Arizona because the air has a greater reservoir of molecules to transfer heat to - it is more humid in North Carolina so it has more water in the air.
program |Have you ever wanted citizenship elsewhere?
program |Who is  What?
program |What was your scholo BackSpace  BackSpace ol mascot?
program |Noun mascot: a person or animal that is adpo BackSpace  BackSpace opted by a team or other group as a symbolic figure.
program |If all you aer BackSpace  BackSpace re going to do is ask questions, you can just go away. I don't need you.
program |
