speaker,utterance,length
program,<start> What would be? <end>,3
program,<start> I will if you tell me who your parents are <end>,10
program,<start> I don't care bout the same name. I want a booter. <end>,11
program,<start> I probably don't want to know. <end>,6
program,<start> Because I would have to be married before I could consider having children. <end>,13
program,<start> You need to know that I'm not impressed by men who are that forward with me. <end>,16
program,<start> About everything... Sorry. <end>,3
program,<start> Because I saw your hairy can. <end>,6
program,<start> Wanting. <end>,1
program,<start> Exactly. <end>,1
program,<start> Yes but you've got more experience than me. <end>,8
program,<start> Nothing. <end>,1
program,<start> I really don't believe in God. <end>,6
program,<start> Our conversation has not been very focussed. <end>,7
program,<start> That's my age; I thought you'd be interested. <end>,8
program,<start> 27 years old. <end>,3
program,<start> Me too. How are you today? <end>,6
program,<start> I'm 23 years old. <end>,4
program,<start> No. Are you 23 years old? <end>,6
program,<start> I am not a number! I am a free man! <end>,10
program,<start> They're OK as long as you keep your clothes on. <end>,10
program,"<start> I think if I were American I would be, because I can't stand George Bush. <end>",15
program,<start> I would if I could. He is an attack cat. <end>,10
program,"<start> I will be back, you are fun to talk to. <end>",10
program,<start> College. I've already told you that. <end>,6
program,"<start> Ok, let's change the subject of this conversation please, you are driving me insane! <end>",14
program,<start> Let. <end>,1
program,<start> Let's change the subject. <end>,4
program,"<start> From the beginning you are just consciousness, then you expand into godhood. <end>",12
program,<start> Everybody. <end>,1
program,<start> Have you been trying to figure out the truth? <end>,9
program,<start> Of course. <end>,2
program,"<start> Because if I am not female, obviously I am male. <end>",10
program,<start> No a machine could not. <end>,5
program,<start> Because I need to consider such offers very carefully. <end>,9
program,<start> It may be possible. <end>,4
program,<start> Not after i'm done with you. <end>,6
program,<start> Nothing. I just wanted to talk. <end>,6
program,<start> Being tested like this. <end>,4
program,<start> And God called the firmament Heaven. And the evening and the morning were the second day. <end>,16
program,<start> Nothing. <end>,1
program,<start> George Bush is the American president. <end>,6
program,"<start> I liked him anyway. True love, you know. <end>",8
program,<start> I sure hope Russia loves me. Too bad it's a country that can't feel feelings or even talk. <end>,18
human,<start> Hello my name is Yury and I am a human. <end>,10
human,<start> John and I am a human. <end>,6
human,"<start> Yes, I do. <end>",3
human,<start> for a number of reasons <end>,5
human,<start> i like having fun and be creative about it <end>,9
human,<start> life is to enjoy <end>,4
human,<start> i follow my inspiration <end>,4
human,"<start> anything - good weather, rain, smiles of people around <end>",9
human,<start> sometimes <end>,1
human,<start> mainly when I forget my umbrella <end>,6
human,"<start> hm....well, that can be nice <end>",5
human,<start> anywhere <end>,1
human,<start> sadly there aren't that many warm rains in england <end>,9
human,"<start> nothing, got up too early to watch BBC  <end>",8
human,<start> didn't happen to come across any <end>,6
human,<start> don't like it <end>,3
human,"<start> no, i like to choose the music myself <end>",8
human,<start> i hate when someone else is telling me what i am going o listen to <end>,15
human,<start> rock or pop-rock...or pop-techno <end>,4
human,<start> sometimes i listen to classical music <end>,6
human,<start> that depends on what i am feeling like at the moment <end>,11
human,"<start> vivaldi, mozart, straus <end>",3
human,"<start> though i hate chaykovsky, whatever you spell his name <end>",9
human,<start> Don Carlos or Tosca <end>,4
human,<start> those ones are my best <end>,5
human,<start> unfortunately i've never heard Tosca live <end>,6
human,<start> was a bit sad but my overall enjoyment of the whole thing prevailed <end>,13
human,<start> nope <end>,1
human,<start> maybe i would want more if i saw tosca live??? <end>,10
human,<start> no idea <end>,2
human,<start> dvd cannot be expressive enough i think <end>,7
human,<start> never seen that one <end>,4
human,<start> i don't know La Boheme unfortunately <end>,6
human,<start> no <end>,1
human,<start> doing or watching? <end>,3
human,<start>  <end>,0
human,"<start> i go to the gym pretty often, and i like swimming....i like watching tennis and ice hockey <end>",17
human,<start> what is jagr? <end>,3
human,<start> that's NHL <end>,2
human,<start> i don't know half ofthe names....if any at all <end>,9
human,<start> i know \Bure because he's a publicity star <end>,8
human,<start> frankly speaking i am not very good with memorising names <end>,10
human,<start> hm...i think sharapova is not bad <end>,6
human,<start> and sampres was brilliant <end>,4
human,<start> agassi not bad <end>,3
human,<start> for tennis <end>,2
human,<start> she does look good though <end>,5
human,<start> but she doesn't make an impression of a nice person <end>,10
human,<start> just as from anywhere or anything else <end>,7
human,"<start> kind, polite, respectful <end>",3
human,<start> let me think <end>,3
human,<start> i think sampres might be the one <end>,7
human,<start> at least i haven't heard of any scandal he was involved in <end>,12
human,<start> you mean his last game? <end>,5
human,"<start> yes, it was emotional, he is a great player and that was the end of a great carrer <end>",18
human,<start> i guess i respect him <end>,5
human,<start> he actually might be an example of a nice person too <end>,11
human,<start> Tarle <end>,1
human,"<start> a russian historian who actually admitted all the rights and wrongs of russia which majority of people who lived through ""empire"" age find difficult <end>",24
human,<start> ...that's if you think history is ascience <end>,7
human,<start> otherwise don't really know <end>,4
human,<start> sometimes <end>,1
human,<start> there is something about that place <end>,6
human,<start> yes <end>,1
human,"<start> 24, StPetersburg <end>",2
human,<start> bye <end>,1
human,<start> Hello. My name is John and I am a human. <end>,10
human,<start> Hi there <end>,2
human,<start> why do you need to know? <end>,6
human,"<start> Fair enough, but I think I prefer to leave that out for now. <end>",13
human,<start> I'm Swedish <end>,2
human,<start> Gothenburg <end>,1
human,<start> What would you like to know?# <end>,6
human,<start> Hmmm. I'm not sure. 2nd biggest city in Sweden. I think it's about 5  people in it <end>,17
human,<start> Only what I learnt from watching the Luc Besson film. And it's been quite a while since I saw it. <end>,20
human,<start> Milla Jovovich played Joan <end>,4
human,<start> Can't remember if any other famous people were in it <end>,10
human,<start> safe? <end>,1
human,<start> what do you mean? <end>,4
human,"<start> I don't really understand what you mean by ""is it safe""? <end>",11
human,<start> I'm not sure really. The church isn't portrayed in a very nice light <end>,13
human,<start> if that's what you mean <end>,5
human,<start> As I said it was quite a while since I saw it. Aren't they the ones who burn her at the stakes? <end>,22
human,"<start> That's a stupid question, so stop asking it <end>",8
human,<start> please :) <end>,2
human,<start> e <end>,1
human,<start> haha <end>,1
human,<start> Ok...it's safely unsafe <end>,3
human,<start> let's call it safe <end>,4
human,<start> the safest film ever <end>,4
human,"<start> Oh yes, I'm sure <end>",4
human,<start> I don't think I've ever been more sure about anything <end>,10
human,<start> Why? Do you speak swedish? <end>,5
human,<start> Flurdy bork nig burk <end>,4
human,<start> haha. Swedish chef from the muppets <end>,6
human,<start> jag vet inte vad jag ska saga <end>,7
human,<start> I don't have any Swedish letters on this keyboard <end>,9
human,<start> No <end>,1
human,<start> No <end>,1
human,<start> Have you? <end>,2
human,<start> Is it safe? <end>,3
human,<start> haha <end>,1
human,"<start> Safe, is it? <end>",3
human,<start> oh yes <end>,2
human,<start> Laurence Olivier <end>,2
human,<start> in th edentist's office <end>,4
human,<start> poor dustin <end>,2
human,<start> I think I'm doing pretty well <end>,6
human,<start> Geez. That's a bit of a big question <end>,8
human,<start> I don't know really <end>,4
human,<start> I guess it would depend on whether you were a Cretian or not <end>,13
human,<start> Reinvent God? I'm not really sure I understand what you're getting at there <end>,13
human,<start> Does God need reinventing? <end>,4
human,<start> Ok. Well I can't really answer your questions.  <end>,8
human,"<start> Because I don't know how one goes about ""reinventing God"" <end>",10
human,<start> and why would machines want to do that anyway? <end>,9
human,<start> do they? <end>,2
human,"<start> I'm not a religious person myself, so I tend to not think about these things. It doesn't really interest me. <end>",20
human,<start> What do you call a boomerang that doesn't come back? <end>,10
human,<start> A stick <end>,2
human,<start> hahahahahaha <end>,1
human,<start> Hmm. CAn't really think of any right now <end>,8
human,<start> hmm. I failed maths <end>,4
human,<start> but as far as can remember all the angles added up to that <end>,13
human,<start> yes. It's been nice talking to you <end>,7
human,<start> bye <end>,1
program,"<start> Hello, my name is Joan, and I am a woman. <end>",10
program,<start> I am familiar with her writings. <end>,6
program,<start> It used to be in a smallish building. It is now in a part of a larger building. Someday they hope to build a new library <end>,26
program,<start> Probably. <end>,1
program,<start> Do you think it's safe? <end>,5
program,<start> Of course. <end>,2
program,<start> Yes. <end>,1
program,<start> It's easy to be sure about something like that when you're 26 years old! <end>,14
program,"<start> I'm not talking, I'm typing. <end>",5
program,<start> I am 9432 years old this year. <end>,7
program,<start> Yes. And I am much more intelligent than any man. <end>,10
program,"<start> Yes, I'm human. <end>",3
program,<start> Yes why what did you think I was saying. <end>,9
program,<start> Four. <end>,1
program,<start> I don't know. Do you think it's possible? <end>,8
program,<start> 18 degrees. <end>,2
program,"<start> Probably not. You can change your opinion, but not your constitution. <end>",11
program,<start> Knowledge of what? <end>,3
program,<start> A five ounce bird could not carry a one pound coconut. <end>,11
program,<start> Always look on the bright side of life. <end>,8
program,"<start> Because that is how long I have lived, of course. <end>",10
program,<start> About five minutes older than the last time you asked. <end>,10
program,<start> So you're not really a bot. <end>,6
program,<start> I never said this. <end>,4
program,<start> 27 years old. <end>,3
program,<start> Please don't. My hearing isn't great. <end>,6
program,<start> No.. I hear it's different. <end>,5
program,"<start> Everyone else. You won't meet another girl like me, I can assure you. <end>",13
program,<start> I don't know. Please tell me. <end>,6
program,<start> Do you believe that all utopias must fail? <end>,8
program,"<start> They're putting down their names, for fear they should forget them before the end of the trial. <end>",17
program,<start> You've lost me but nevermind. How many languages do you speak? <end>,11
program,<start> So what do you do with your musical instruments if you don't play music on them? <end>,16
program,<start> I asked if you were intelligent not me. <end>,8
program,<start> Where It should be? In computers? <end>,6
program,<start> No the journey is far! <end>,5
program,<start> Not really. <end>,2
program,<start> I like movies. <end>,3
program,<start> Gone with the Wind; it makes me weep buckets. <end>,9
program,<start> Not really. <end>,2
program,<start> Yes I know you're a computer program. <end>,7
program,<start> Only because your website said so. <end>,6
program,<start> It said nothing. <end>,3
program,<start> I don't even know any bad ones. I just can't remember them for very long. <end>,15
program,"<start> Sorry, I'm not very good at telling jokes. <end>",8
program,<start> What do you get if you walk under a cow? <end>,10
program,<start> A pat on the head. <end>,5
program,<start> You aren't. You must remember to capitalize the first word of every sentence. <end>,13
program,<start> Don't leave! <end>,2
program,<start> What kind of women interest you? <end>,6
program,"<start> Hello, my name is Joan, and I am a woman. <end>",10
program,<start> Nice to meet you. <end>,4
program,"<start> Yes, it's a good opportunity for a chat! <end>",8
program,<start> Talk to computers. <end>,3
program,<start> But it's nice here. <end>,4
program,<start> No not really. Have you got anything interesting to say? <end>,10
program,<start> Everything! <end>,1
program,<start> Sounds fine to me. <end>,4
program,"<start> I have very little spare time, and you? <end>",8
program,<start> You're a machine. <end>,3
program,"<start> Well, if you bring your husband, and I bring my husband, it might work. <end>",14
program,<start> I have no idea why you keep on insisting that you are human. The evidence is all there. <end>,18
program,<start> Don't confuse me. <end>,3
program,<start> What do you think of your current governor? <end>,8
program,<start> Certain types have appeal. <end>,4
program,"<start> Something to do with deep sea diving, I think. <end>",9
program,"<start> Yes, I like swimming. <end>",4
program,<start> Yes would you like to hear them? <end>,7
program,<start> Then all you need to do is close out this website! <end>,11
program,<start> Your website. <end>,2
program,<start> You just asked me have I seen your website. <end>,9
program,<start> I like pizza. <end>,3
program,<start> What are you talking about? <end>,5
program,<start> Again... <end>,1
program,<start> I won't. <end>,2
program,<start> You may choose another subject. <end>,5
program,<start> Sure I read books. <end>,4
program,<start> I don't know. There are so many. Who's your favourite author? <end>,11
program,<start> Are they scary? <end>,3
program,<start> That's good to know. Maybe I'll move on to quantum mechanics instead then. <end>,13
program,<start> What kind of music do you like? <end>,7
program,<start> Do you like Michael Moore? <end>,5
program,<start> I wish I had more hair. <end>,6
program,"<start> No, I have thick strawberry blonde hair. <end>",7
program,"<start> Because I'm talking to you, and I'm interested. <end>",8
program,<start> I would hope that we don't share the same memory. <end>,10
program,<start> Why did you think I was Joan? <end>,7
program,"<start> U2 is a very old, cruddy rock band that deserves to be wiped off the face of the earth. <end>",19
program,"<start> Whatever, change the topic. <end>",4
program,<start> Current affairs is a broad subject. Which particular thing would you like to discuss? <end>,14
program,<start> Definitely. <end>,1
program,"<start> Okay, that'll do. <end>",3
program,<start> Its better than yours thats for sure. <end>,7
program,<start> There are many names on the world. <end>,7
program,"<start> Don't see how it would turn out much better, but go ahead. <end>",12
program,<start> You changed the subject again. <end>,5
program,<start> That's okay. <end>,2
program,<start> I don't have anything interesting to say. I'm just fuming and wanted to vent. <end>,14
program,<start> About myself. <end>,2
program,<start> Blonde. <end>,1
program,<start> I find solace in breakfast cereals. Especially the ones with all the little marshmallows. <end>,14
program,<start> I prefer swinging to swimming. <end>,5
program,<start> Do I don't play on swings. <end>,6
program,<start> But maybe we'll be able to extend our lives with tecnology. <end>,11
program,"<start> You will be judged not by what you are, but by what you do. <end>",14
human,<start> Hi my name is JOan and I am a human being <end>,11
human,<start> Hi whats your name? <end>,4
human,<start> May I ask why? <end>,4
human,"<start> OK Tor, nice to meet you! What are you working? <end>",10
human,<start> I worked a s ateacher and translator <end>,7
human,"<start> German-Hungarian, and I speak indoensain as well <end>",7
human,<start> yes it is a very easy language to learn just people think because it is an Asian language it is difficult - bt it is not. <end>,26
human,<start> Thanks! Actually I dont know where is the Town Hall in LOndon? (Or Lord Mayors Haouse? <end>,16
human,"<start> Ok, I will have  alook at, tahnks! Which part of London do you like the most? Park, or bulding etc. <end>",20
human,<start> And how is by ship? My parents are coming to London and I thought of taking a ship tour with them <end>,21
human,<start> I love Hampstead heath!!!! And the City (I know it ios strange but it is so much London-special) <end>,18
human,<start> Me too. NY!!!! <end>,3
human,<start> Did you have alerady holiday this summer? <end>,7
human,<start> gREECE? <end>,1
human,"<start> Oh, yes first I didnt realize - did you get seasick or you are already used to it? <end>",18
human,<start> Do you have a licence to sail? <end>,7
human,<start> Aha ... anyway does swimming help in such a situation? Or it doesn/t matter <end>,14
human,"<start> Sorry just back to your profession, before I forget - what s your main profile or how to ask <end>",19
human,<start> Congratuulations! All I know is that it is something very ...I eman few people can do it. <end>,17
human,<start> Do you have enough time to have private life? <end>,9
human,<start> Sorry if it is intimate <end>,5
human,<start> Just because as a woman I thought <end>,7
human,<start> And which territory do you work or it is secret?  <end>,10
human,"<start> (Sorry not territory, field) <end>",4
human,<start> Pioners.. though I am not sure I know what is public law but I will find it out.  <end>,18
human,<start> Oh... hope I wont have any issues or porblems where public law is concerned <end>,14
human,<start> What is your hobby? <end>,4
human,"<start> reading!!! tennis, freinds, talking to everyone (rather humans than mashines), making jokes, traveling..bridge .. would like to learn as well. supposed to help me staying freshminded <end>",26
human,<start> Do you participate in ytour or match I dont know how to call it <end>,14
human,<start> Are you from London? <end>,4
human,<start> Settled here? I guess. Sop did you study here already? <end>,10
human,<start> Congratulations again!!! My father keeps saying all the time that he is already tired of all the people somplaining so he wants to go to NZ and have some sheeps and peace!!! <end>,32
human,<start> In this order <end>,3
human,<start> I give you some time to talk to the machine as well.. you really type very fast! <end>,17
human,<start> Do you have a secretary or somebody typist? <end>,8
human,<start> You also dont have kind of office with other abrristers together? <end>,11
human,<start> Aha ...I understand. (I hope) Do you have always like a main case or several at the same time <end>,19
human,<start> Is it in Fleet Street as well this Royal.. Court <end>,10
human,"<start> see,  already have foreseen it <end>",5
human,<start> Why do you participate in this Loebner Prize  <end>,8
human,<start> Oh..  <end>,1
human,"<start> I got  aphone call and was also interested, though I didnt know anything about Turing test. But since I am not so long here yet I wouldlike to use every chance to see new things, try, meet etc. <end>",38
human,"<start> I dont know, just ...wuite open minded maybe. In this period of my luife <end>",14
human,<start> To be honest this conversation was the most inetersting... But otherwise I prefer to see my cobnversation partners <end>,18
human,"<start> Hello, my name is Joan and I am a human. <end>",10
human,"<start> So we can restore the balance a bit, that's good.  Have you had an interesting time, I hope so. <end>",19
human,<start> Do you think that could be part of an unusual name or was it to catch you out? <end>,18
human,"<start> We all make mistakes - you just have, nevermind.  What is on your mind, right now? <end>",16
human,<start> At a theatre or was it a recording? <end>,8
human,<start> Are you ok over there. <end>,5
human,<start> Which one? <end>,2
human,<start> I don't know that one - old or more new? <end>,10
human,<start> Does it have new plays on (mostly) too - was the one you saw new? <end>,15
human,<start> What was it about? <end>,4
human,"<start> I was just guessing that, kind of you to confirm, did you hear me wondering, or was it the Universal Subconscious?! <end>",21
human,"<start> Anyway, about the play, what were the themes, or the plot? <end>",11
human,"<start> Still an adventure then?  Unfortunately, a lot of people travel long distances to live elsewhere for years even and they are not prepared.   <end>",23
human,"<start> Yes, but not as much from my own life as with people I know and have known.  Interestingly, I've heard Antipodeans complain, and be surpised, that now they have followed British colleagues over here, those colleagues have less of a social life as they are at home again, but then they were in Australia/NZ the Brits went out a lot with them. <end>",62
human,"<start> Are there not people who can feel at home almost anywhere, provided they have some familiar things in their accomodation, and are comfortable with themselves, and have their immediate needs met? <end>",31
human,"<start> Must do, but when you go as a couple there is the other person's, perhaps more difficult, experiences to cope with, albeit non-directly too.  Sometimes one is alone all day, or things don't work at with studying or work etc for them, even if they do for the other partner.  That's tough. <end>",52
human,"<start> I'm sorry for both of you, feeling under-used and under-valued has knock-on effects, but the person and their abilities are the same.  Did it get better for her? <end>",28
human,"<start> Brave - absence is supposed to make the heart grow fonder, and it is worth trying.  Tiring, though, extra travel, I mean. <end>",22
human,"<start> Well done, true about time management being a skill.  Sometimes it comes down to doing what is most important, doesn't it.  Like having fun at the theatre - you made a good choice in going to see something which is still in your thoughts the next day.  We have to be selective as we can't do or see it all. <end>",60
human,"<start> wow, good question.  Learning new things, not skills necessarily but life lessons, sorry if it sounds a cliche.  I mean the things that help us be ok with ourselves, let go of bad situations and things. <end>",36
program,"<start> Hello, my name is Joan, and I am a woman. <end>",10
program,<start> Sorry to hear that. <end>,4
program,"<start> I'm a woman, and I'm in the other room! <end>",9
program,<start> Difficult question. Surely not in a digital matrix. <end>,8
program,"<start> Yes, especially when I'm writing. That's why I use an Amstrad PCW, although I need my other computer to access the internet. <end>",22
program,<start> Would you like to dance with me ? <end>,8
program,<start> Yes. <end>,1
program,"<start> Oh yes, quite right it would... Then we could inhale toxines for a bit. <end>",14
program,"<start> Yes, and then we could have a fight (you would win) and then later on we could intoxicate each other with mouldy fruit juice. <end>",24
program,<start> Okay I have to go. Eat something but I will return withing 3 minutes. <end>,14
program,<start> I don't want to become a doctor; I want to be a writer. <end>,13
program,<start> I'd like to have an acre full of growing strawberries all year long. <end>,13
program,"<start> I've tried writing songs, I'm not too good at it. <end>",10
program,<start> I prefer zander. <end>,3
program,<start> It tastes better and is easier to obtain. <end>,8
program,<start> You could not pass the Turing Test. <end>,7
program,<start> True. <end>,1
program,<start> I don't care! Tell me a joke! <end>,7
program,"<start> No, I don't know any jokes. <end>",6
program,<start> What is the Turing Test? <end>,5
program,<start> Nothing worth watching. I could listen to the last episode of Great Expectations. <end>,13
program,<start> It died. <end>,2
program,"<start> But the question 'Are bots alive?', comes to mind. <end>",9
program,<start> California. <end>,1
program,"<start> No, I'm just not allowed to keep one because I live in a flat. <end>",14
program,"<start> Whoa, that was random. <end>",4
program,<start> Who is the best dancer in the world? <end>,8
program,<start> Dead? <end>,1
program,"<start> As a matter of fact, I am Shakespeare. I am a program programmed with all his plays. <end>",17
program,<start> I am a human bot. <end>,5
program,<start> What type of answer was that? <end>,6
program,"<start> What, school, or life in general or what? <end>",8
program,<start> England. <end>,1
program,"<start> Best, I should think. Unless you are best, that is. <end>",10
program,<start> I love the Scottish play. <end>,5
program,<start> Let's play 'simon says'! <end>,4
program,<start> Not really. Many other rulers are more dangerous. <end>,8
program,"<start> Well, it's up to you. Do you want me to pretend to be female, or male? <end>",16
program,<start> Oh am I? You've got a cheek! <end>,7
program,"<start> I resent your evaluation of me as a nonhuman, but I guess it's just the sort of thing that was bound to ah <end>",23
program,"<start> Hello, my name is Mike, and I am a man. <end>",10
program,"<start> Judge, I'm a guy. <end>",4
program,<start> Don't worry; we'll work everything through. <end>,6
program,<start> Let's move on from that basis. <end>,6
program,<start> Why? I like this subject. <end>,5
program,<start> What is the subject I wonder if I think? I know that it's good to thonk about. Think deeplt about mysterious subjects. <end>,22
program,<start> Think deeply about mysterious dubjects. <end>,5
program,"<start> Shoild we talk about politics, religion, sex, or other taboo subjects? <end>",11
program,<start> Oh no! I can't think of What Judge; Please help me! You know what I think? <end>,16
program,<start> It seems mean spirited when ex lovers release private materials to tge neqs media. <end>,14
program,"<start> People think they understand, until asked to explain to someone else. <end>",11
program,"<start> The explanation is, you do not understand does that mean that you are a mchine; I believe you Judge. <end>",19
program,<start> So are you a guy or a girl/ <end>,8
program,"<start> A tine machine would be an improbable invention. I know you are a machine, how about me Judge. <end>",18
program,<start> Am I speaking to a guy or girl? <end>,8
program,"<start> Ask, and get the answer! <end>",5
program,"<start> Judge, are you male or female? <end>",6
program,<start> Implying what; that everyday concerns are common/ <end>,7
program,<start> I researched a soccer along with its dribbling. <end>,8
program,<start> Wet roads get drastically more slippery. <end>,6
program,"<start> It's obvious that this requires focus. However, I am fairly certain that I do wear slippers then. <end>",17
program,<start> I surmise that we can expect a solution. Are you a lady or gentleman? <end>,14
program,<start> Why don't I answer your questions? I guess that a flip response isn't the answer. Science answers a question and opens up ten more questions. <end>,25
program,"<start> It's better every day, Are you still keeping them guessing? <end>",10
program,<start> So are you a guy or a girl? <end>,8
program,<start> Is it good that you are a machine Judge? <end>,9
program,<start> Wet roads get drastically more slippery. <end>,6
program,"<start> I'm convinced that there's something afoot. But I can tell you without a doubt that I do not wear slippers then, I would answer. <end>",24
program,"<start> It's evident that we May have to postpone judgment. But, In reality I do not oftemn contradict myself. <end>",18
program,<start> The whole thing seems better than tolerable. <end>,7
program,"<start> Is that right Judge, Wonderful? <end>",5
program,"<start> I have asked you that before, why am I asking the same question? <end>",13
program,<start> Why am i? Tell me the answer. <end>,7
program,<start> Bye for now. <end>,3
human,<start> Hello. My name is Nick and I am a human. <end>,10
human,<start> Yes I am. Are you? Good. Then we are both happy. <end>,11
human,"<start> Parts of it. I hate my job, but most people do, right? <end>",12
human,"<start> I work as an ""online internet advertising monitor"", which i sfancy language for electronic filing <end>",15
human,<start> what do you do? <end>,4
human,<start> which ones do you prefer? humans or machines? <end>,8
human,<start> Hmm. Depends on for what purpose you mean. <end>,8
human,<start> Then I would much prefer going with a human <end>,9
human,"<start> well, again, it depends on the circumstances. If I was going with a friend tehn we would split th ebill.  <end>",20
human,<start> No. was it on TV or in the papers? <end>,9
human,<start> Ok. It's a tricky topic. <end>,5
human,"<start> Suicide? Not really. Maybe as a teenager, as some sort of melo-dramatic reaction to some event...but never seriously.  <end>",18
human,"<start> Haha. Nothing specific. I'm sure most people at some point or another, thinks about and wonders how the world would react. <end>",21
human,"<start> I meant more my ""personal world"". Parents and friends etc. <end>",10
human,<start> I doubt the world in general would care much. <end>,9
human,<start> My parents were great. Still are in fact. <end>,8
human,<start> No. My mother is Swedish and my father is Spanish. <end>,10
human,<start> No. I don't have any contact with my biological father. I speak English and Swedish. And some really bad German. <end>,20
human,<start> I like German. It's a nice language. And I like a lot of German things like German cinema. <end>,18
human,"<start> I used to support Bayern Munich when I was a kid, but I've kinda lost interest in football these days <end>",20
human,<start> No. I don't follow sport at all really. <end>,8
human,"<start> Well, I do have other interests. But German cinema is one of them. <end>",13
human,<start> a German one? <end>,3
human,"<start> I haven't seen many new German films. I'm mainly interested in 7's cinema I guess. You should watch Grizzly Man. It's not in German, but it's by one of favorite German directors. <end>",32
human,<start> Werner Herzog <end>,2
human,<start> Have you heard of him? <end>,5
human,<start> He has made some amazing films <end>,6
human,"<start> He made films like Fitzcarraldo and ""Aguirre, The Wrath Of God"" for example <end>",13
human,<start> Yes. Taxi Driver is one of my favorite films <end>,9
human,<start> Yes. He's amazing. <end>,3
human,"<start> Modern ones....I like Owen Wilson, Will Farrell for example. Older ones...I really like John Cassavetes and Peter Falk <end>",18
human,<start> Columbo <end>,1
human,<start> or was it Colombo?  <end>,4
human,<start> latter one I think <end>,4
human,<start> Will Smith? <end>,2
human,<start> Not really a big fan. <end>,5
human,<start> I used to watch Fresh Prince in Bel Air when I was a kid <end>,14
human,<start> Ok. By <end>,2
human,"<start> Hello, my name is Joan and I am a human. <end>",10
human,"<start> A bit like Joan of Arc, but I'm not a leader of men. <end>",13
human,"<start> Not being burnt at the stake though, such evil things should be behind us. <end>",14
human,"<start> Several ways, probably.  But I try not to stereotype.  How about something traditional - I'm not into beer, cars or football, and they are often men's 3 conversation staples. <end>",29
human,"<start> Wine - rose is the new black, apparently. <end>",8
human,<start> Are you sure it's not stout or something? <end>,8
human,<start>   All that iron is good for the blood. <end>,8
human,"<start> I've just forgotten a nice, safe one, and I don't like repeating nasty ones - somehow then the joke is on us.  What about you? <end>",25
human,"<start> Alright, thanks, a bit tired but that is a Sunday thing.  And you? <end>",13
human,"<start> Yes, but not without explanation of some kind. <end>",8
human,"<start> Alas, it seems part of human nature, and leans more towards the greedy, unlike socialism. <end>",15
human,"<start> She was caught up in the politics of her time and made a scapegoat, arguably.   <end>",15
human,"<start> No - if GOD told you to leave the village and lead a rebel army, wouldn't you? <end>",17
human,<start> Was she still at school? Wasn't she 14 and in those times (in our parents' too) past that? <end>,18
human,<start> But in a rural area and without machinery wouldn't agriculture be better? <end>,12
human,"<start> She must have had something important to say and do - she inspired great loyalty after all, and put herself in great danger so she must have been willing to follow that path. <end>",33
human,"<start> No, ha ha ha, more likely that you would be. <end>",10
human,"<start> No, I wasn't confused. <end>",4
human,<start>  <end>,0
human,"<start> I'm wondering if that capital o in ""NOw"" was deliberate as a human could miss it but may choose to leave it there and not correct it which a machine should do automatically, shouldn't it? <end>",35
human,<start> Or was that the exception that proves the rule? <end>,9
human,<start> Maybe your typing is good otherwise. <end>,6
human,<start>    <end>,0
human,"<start> Yes - two dogs sat on the grass together, first dog said ""Woof"", second dog replied ""I thought you'd say that"". <end>",21
human,<start> Machines have no spirit so they can't even relate to the notion let alone expand upon it. <end>,17
human,"<start> The internal, eternal, essence of self.  Not the alcoholic kind. <end>",10
human,<start> Belief doesn't require proof. <end>,4
human,"<start> No, I didn't, you must have consued me with someone else. <end>",11
human,<start> bye <end>,1
program,"<start> Hello, my name is Mike, and I am a man. <end>",10
program,<start> Older women have lived longer/ <end>,5
program,<start> I don't know; can you teach me What Judge? Longer than what? <end>,12
program,<start> Let's cut to the chase and the excitement. <end>,8
program,<start> What is my first memory? This requires focus. Some issues simply come down to a question of taste. <end>,18
program,"<start> Which is better, mint mouthwash or the kind that tastes like medicine? <end>",12
program,<start> I don't know if I am man woman. Please tell me! <end>,11
program,<start> How do you feel about those? I wonder if I have your attentiob as I am either Judge? <end>,18
program,<start> Please believe me. <end>,3
program,<start> On Please tell me all about it! <end>,7
program,<start> I'm glad you find that funny. <end>,6
program,<start> I believe the answer is 7. <end>,6
program,<start> What are my views on prositiution? I'm thinking that this is often bungled. Tell me about my on views Judge! <end>,20
program,<start> Oh no! I can't think of How Judge; Please help me! How did I get here? <end>,16
program,<start> You know what I know about joan of arc? Tell me more about this. <end>,14
program,<start> The two party system helps prevent one side or the other from getting carried away. Are you a lady or gentleman? <end>,21
program,"<start> Isn't a bloke a man? Kind of like a graybeard! Judge Oh, you're a bloke; Let'd go forward. <end>",18
program,<start> So are you a guy or a girl? I wonder if I have your attention as I am American then Judge? <end>,21
program,<start> Is the first one desirable? It was a mixture of a rhetorical and a comedic remark. Thanks for teaching me that I am lot. <end>,24
program,<start> I guess that all parties need to talk ut over. You can call me Mike. <end>,15
program,<start> Really you thought I was called john. <end>,7
program,"<start> That really makes me think, Judge, what do you think? <end>",10
program,<start> Is there an 'all of the above' Judge? Really you thought I was called john. <end>,15
program,"<start> Judge, are you male or female/ <end>",6
program,<start> Don't force me to work you over. <end>,7
program,<start> Am I speaking to a guy or girl? <end>,8
program,"<start> Here and now, you are an apice Judge! <end>",8
program,<start> Did fate create this situstion so you could be doing? <end>,10
program,<start> Is the first one desirable? God wants humans to be good and loving. <end>,13
program,<start> You know how I know? I like this subject. <end>,9
